,Unnamed: 0,n_topics,npmi_average
0,0.0,5,-0.1332701786379144
1,1.0,6,-0.1367829582202318
2,2.0,7,-0.131691250203174
3,3.0,8,-0.1227442515885926
4,4.0,9,-0.1241739160632354
5,5.0,10,-0.1188367735679576
6,6.0,11,-0.1103730391997616
7,7.0,12,-0.1105910650175124
8,8.0,13,-0.129295280430193
9,9.0,14,-0.1116667528372767
10,10.0,15,-0.1062071344294248
11,11.0,16,-0.1048958112697144
12,12.0,17,-0.1119237137422031
13,13.0,18,-0.1125285877635863
14,14.0,19,-0.0974842053433888
15,15.0,20,-0.0898484223428201
16,16.0,21,-0.0897559607716196
17,17.0,22,-0.0928758450230611
18,18.0,23,-0.0954717944468591
19,19.0,24,-0.086183784675074
20,20.0,25,-0.075975701054226
21,21.0,26,-0.0730184224761965
22,22.0,27,-0.0786343604708788
23,23.0,28,-0.0608539360162706
24,24.0,29,-0.0689018502038331
25,25.0,30,-0.065130729513421
26,0.0,31,-0.0692494066469033
27,1.0,32,-0.0655703690619244
28,2.0,33,-0.0629803213472631
29,3.0,34,-0.0580796204353785
30,4.0,35,-0.0529858690063248
31,5.0,36,-0.061355080630686
32,6.0,37,-0.0554702945187472
33,7.0,38,-0.0425140209259352
34,8.0,39,-0.0481494927672922
35,9.0,40,-0.0390339055276018
36,10.0,41,-0.0550766777922448
37,11.0,42,-0.0417723174616129
38,12.0,43,-0.0421003783695562
39,13.0,44,-0.0416243447107845
40,14.0,45,-0.0369261046383654
41,15.0,46,-0.037494375209618
42,16.0,47,-0.0278297312778962
43,17.0,48,-0.0400081890069692
44,18.0,49,-0.0372200347161218
0,,50,-0.029215167894633565
1,,51,-0.01884561981625206
2,,52,-0.03512886228603998
3,,53,-0.026855344638539762
4,,54,-0.024333130614228902
5,,55,-0.030811895179014503
6,,56,-0.03249215008784169
7,,57,-0.02128242472357925
8,,58,-0.020576936592876592
9,,59,-0.018959940634869346
10,,60,-0.02089332495422749
11,,61,-0.023812316939271466
12,,62,-0.02047884694895302
13,,63,-0.02548391576492487
14,,64,-0.023123068283645527
15,,65,-0.016165758634572102
16,,66,-0.016052738403310774
17,,67,-0.017650207325666946
18,,68,-0.024118906952402822
19,,69,-0.014284940196006218
20,,70,-0.017888278086018505
0,,71,-0.015056845143860607
1,,72,-0.016665897466026976
2,,73,-0.013538355711233028
3,,74,-0.006492099910300231
4,,75,-0.010539935713750267
5,,76,-0.010688957909004464
6,,77,-0.011996930554696349
7,,78,-0.007888580220599819
8,,79,-0.008657828763504367
9,,80,-0.015818319734043212
